,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
77,0.8446099758148193,0.02362389973512319,0.21158723831176757,0.011554919555280131,0.4,100,1,4,0.05,0.6,"{'subsample': 0.4, 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 4, 'learning_rate': 0.05, 'colsample_bytree': 0.6}",0.667599965981172,0.6908172680940495,0.6949815917302632,0.6944319864378143,0.7044456799073022,0.6904552984301203,0.012284375407940654,22
10,0.8413882732391358,0.03137534380847493,0.19531989097595215,0.009692257836649995,0.2,50,5,6,0.1,1.0,"{'subsample': 0.2, 'n_estimators': 50, 'min_child_weight': 5, 'max_depth': 6, 'learning_rate': 0.1, 'colsample_bytree': 1.0}",0.6708444032464007,0.6865214606862785,0.6958577568738477,0.6934118029829958,0.705586341920054,0.6904443531419153,0.011549351876245523,23
99,4.204905271530151,0.08668825869055767,0.6883717060089112,0.014399341945790081,1.0,100,10,16,0.05,0.2,"{'subsample': 1.0, 'n_estimators': 100, 'min_child_weight': 10, 'max_depth': 16, 'learning_rate': 0.05, 'colsample_bytree': 0.2}",0.6764195183596076,0.6859394818749854,0.6945752170463433,0.6905134394639055,0.7045567003247847,0.6904008714139253,0.009308142188706915,24
91,0.8271803379058837,0.03493331902608933,0.21018619537353517,0.01186095671673601,0.6,100,10,4,0.05,0.6,"{'subsample': 0.6, 'n_estimators': 100, 'min_child_weight': 10, 'max_depth': 4, 'learning_rate': 0.05, 'colsample_bytree': 0.6}",0.6668465003130759,0.6908885706441488,0.6948625915418994,0.6942681043192365,0.7051193540837819,0.6903970241804285,0.012700727092862218,25
17,2.121566724777222,0.02172698213278055,0.3657090663909912,0.014201226515131015,0.6,50,10,16,0.05,0.4,"{'subsample': 0.6, 'n_estimators': 50, 'min_child_weight': 10, 'max_depth': 16, 'learning_rate': 0.05, 'colsample_bytree': 0.4}",0.6743179938480717,0.6871507690481177,0.6928593208632765,0.6948328529107899,0.7018228125552962,0.6901967498451105,0.009221290161714853,26
11,0.7299706935882568,0.02926013926577256,0.15282893180847168,0.010676583462444824,1.0,50,10,4,0.1,0.4,"{'subsample': 1.0, 'n_estimators': 50, 'min_child_weight': 10, 'max_depth': 4, 'learning_rate': 0.1, 'colsample_bytree': 0.4}",0.6675640692682698,0.690746399341085,0.6926638678486012,0.6946150702368246,0.7035017609151051,0.689818233521977,0.01195370668476516,27
89,0.8382076263427735,0.019574136162247086,0.2125473976135254,0.008994667990331879,1.0,100,10,4,0.05,1.0,"{'subsample': 1.0, 'n_estimators': 100, 'min_child_weight': 10, 'max_depth': 4, 'learning_rate': 0.05, 'colsample_bytree': 1.0}",0.6622079189666952,0.6912347635891234,0.6929841489100592,0.6947470846437929,0.7066638393086481,0.6895675510836637,0.014711307533960336,28
50,1.0175120830535889,0.0368133413842156,0.29398131370544434,0.012657562270156282,0.2,100,5,6,0.1,0.8,"{'subsample': 0.2, 'n_estimators': 100, 'min_child_weight': 5, 'max_depth': 6, 'learning_rate': 0.1, 'colsample_bytree': 0.8}",0.6738800699326645,0.6855168093535795,0.6985548623518063,0.6895885337884503,0.699279885611868,0.6893640322076738,0.009353075642316959,29
92,1.7511849403381348,0.033558048889041056,0.3238011360168457,0.006952038820090703,1.0,50,10,12,0.1,0.2,"{'subsample': 1.0, 'n_estimators': 50, 'min_child_weight': 10, 'max_depth': 12, 'learning_rate': 0.1, 'colsample_bytree': 0.2}",0.6813128699048101,0.6824108389921979,0.6897823657337907,0.6916111317232995,0.7007380888505819,0.689171059040936,0.0070366972478808415,30
78,0.9810600280761719,0.0157103191714246,0.2386613368988037,0.01240258815358513,0.4,50,10,8,0.05,0.4,"{'subsample': 0.4, 'n_estimators': 50, 'min_child_weight': 10, 'max_depth': 8, 'learning_rate': 0.05, 'colsample_bytree': 0.4}",0.6681444384638787,0.6872594751853768,0.6921374712459972,0.6956061029835666,0.7022485829913295,0.6890792141740298,0.011549560796130022,31
